timestamp,original_filename,output_filename,batch_id,duration,status,error,cluster_db_path,model,language,threads,speakers,max_offset,max_len,split_on_word,vad_enabled,task_id
2026-05-10 19:54:59,val_chunk_0026.wav,,20260510_1953,2.18,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0028
2026-05-10 19:55:03,val_chunk_0027.wav,,20260510_1953,4.31,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0029
2026-05-10 19:55:05,val_chunk_0028.wav,,20260510_1953,2.35,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0030
2026-05-10 19:55:08,val_chunk_0029.wav,,20260510_1953,2.37,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0031
2026-05-10 19:55:10,val_chunk_0030.wav,,20260510_1953,2.38,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0032
2026-05-10 19:55:13,val_chunk_0031.wav,,20260510_1953,2.34,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0033
2026-05-10 19:55:15,val_chunk_0032.wav,,20260510_1953,2.20,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0034
2026-05-10 19:55:19,val_chunk_0033.wav,,20260510_1953,4.57,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0035
2026-05-10 19:55:22,val_chunk_0034.wav,,20260510_1953,2.23,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0036
2026-05-10 19:55:24,val_chunk_0035.wav,,20260510_1953,2.19,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0037
2026-05-10 19:55:29,val_chunk_0036.wav,,20260510_1953,5.23,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0038
2026-05-10 19:55:31,val_chunk_0037.wav,,20260510_1953,2.20,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0039
2026-05-10 19:55:34,val_chunk_0038.wav,,20260510_1953,2.32,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0040
2026-05-10 19:55:36,val_chunk_0039.wav,,20260510_1953,2.25,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0041
2026-05-10 19:55:38,val_chunk_0040.wav,,20260510_1953,2.36,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0042
2026-05-10 19:55:40,val_chunk_0041.wav,,20260510_1953,2.21,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0043
2026-05-10 19:55:43,val_chunk_0042.wav,,20260510_1953,2.38,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0044
